price,year,mileage,location,tax,seller_type,model
"Rp23,100,000",2024,"2,500 km",Padang Bulan,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp22,100,000",2022,"15,000 km",Padang Bulan,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp15,750,000",2017,"30,000 km",Kota Jakarta Barat,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp20,500,000",2020,"30,000 km",Kota Jakarta Barat,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp18,000,000",2018,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp24,800,000",2023,"15,000 km",Karah,hidup,dealer,HONDA ALN VARIO 160 ABS
"Rp18,900,000",2018,"30,000 km",Kota Bambu Utara,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp18,500,000",2018,"30,000 km",Gading,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp16,600,000",2018,"30,000 km",Kota Bekasi,hidup,dealer,HONDA VARIO 125ESP CBS ISS
"Rp17,200,000",2017,"30,000 km",Kota Tangerang Selatan,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp18,900,000",2018,"30,000 km",Kota Tangerang Selatan,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp17,200,000",2017,"30,000 km",Kota Tangerang Selatan,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp16,600,000",2018,"30,000 km",Kab. Tangerang,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp23,500,000",2023,"7,500 km",Kota Jakarta Utara,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp19,000,000",2018,"15,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp22,000,000",2023,"7,500 km",Kota Jakarta Utara,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp15,800,000",2017,"30,000 km",Kota Depok,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp25,500,000",2023,"15,000 km",Kota Jakarta Timur,hidup,dealer,HONDA ALN VARIO 160 ABS
"Rp19,000,000",2018,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp22,500,000",2021,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 150 ESP SPORTY
