model,price,location,manufacturer,year,mileage,tax,seller_type
[hidup]All New Honda Vario ABS ISS 160 CC  Tahun 2022,Rp 21.500.000,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",Honda,2022,10.000-15.000 km,hidup,Individu
Dijual honda vario 160 ABS tahun 2024 km 3 rb,Rp 12.500.000,"Pasar Minggu, Jakarta Selatan, Jakarta D.K.I.",Honda,2024,0-5.000 km,hidup,Diler
"Honda beat deluxe LED 2023 bln 11 hidup, mio freego vario gear",Rp 14.800.000,"Tanah Abang, Jakarta Pusat, Jakarta D.K.I.",Honda,2023,0-5.000 km,hidup,Diler
HONDA VARIO 160 CBS 2024 FULL MULUSS SIAP PAKAI (CASH/KREDI),Rp 14.750.000,"Pancoran Mas, Depok Kota, Jawa Barat",Honda,2024,0-5.000 km,hidup,unknown
DP 2 Juta - New Vario 125 Cbs Iss Keyles 2023 [Garansi Mesin 5.000 Km],Rp 23.000.000,"Bojongsari, Depok Kota, Jawa Barat",Honda,2023,5.000-10.000 km,hidup,Diler
DP 2 Juta - New Vario 125 Cbs Iss Keyles 2023 [Garansi Mesin 5.000 Km],Rp 19.600.000,"Mampang Prapatan, Jakarta Selatan, Jakarta D.K.I.",Honda,2023,5.000-10.000 km,hidup,Diler
DP 2 Juta - New Vario 125 Cbs Iss Keyles 2023 [Garansi Mesin 5.000 Km],Rp 13.000.000,"Koja, Jakarta Utara, Jakarta D.K.I.",Honda,2023,5.000-10.000 km,hidup,Diler
DP 2 Juta - New Vario 125 Cbs Iss Keyles 2023 [Garansi Mesin 5.000 Km],Rp 20.000.000,"Sawah Besar, Jakarta Pusat, Jakarta D.K.I.",Honda,2023,5.000-10.000 km,hidup,Diler
DP 2 Juta - New Vario 125 Cbs Iss Keyles 2023 [Garansi Mesin 5.000 Km],Rp 18.000.000,"Cengkareng, Jakarta Barat, Jakarta D.K.I.",Honda,2023,5.000-10.000 km,hidup,Diler
DP 2 Juta - New Vario 125 Cbs Iss Keyles 2023 [Garansi Mesin 5.000 Km],Rp 22.000.000,"Kelapa Dua, Tangerang Kab., Banten",Honda,2023,5.000-10.000 km,hidup,Diler
DP 2 Juta - New Vario 125 Cbs Iss Keyles 2023 [Garansi Mesin 5.000 Km],Rp 22.000.000,"Bumi Serpong Damai, Tangerang Selatan Kota, Banten",Honda,2023,5.000-10.000 km,hidup,Diler
DP 2 Juta - New Vario 125 Cbs Iss Keyles 2023 [Garansi Mesin 5.000 Km],Rp 22.000.000,"Cibodas, Tangerang Kota, Banten",Honda,2023,5.000-10.000 km,hidup,Diler
Vario 150 CC Tahun 2017,Rp 14.500.000,"Curug, Tangerang Kab., Banten",Honda,2017,85.000-90.000 km,hidup,Individu
Dijual Honda Vario 125cc,Rp 295.000.000,"Pondok Aren, Tangerang Selatan Kota, Banten",Honda,2018,5.000-10.000 km,hidup,Individu
Vario 110 Terawat dan Muluss,Rp 15.500.000,"Larangan, Tangerang Kota, Banten",Honda,2010,55.000-60.000 km,hidup,Individu
VARIO 2021 CBS ISS [MULUS FULL ORI],Rp 17.500.000,"Pancoran Mas, Depok Kota, Jawa Barat",Honda,2021,30.000-35.000 km,hidup,Individu
DP 2 Juta - Honda New Vario 125 Cbs Iss 2022 [Garansi Mesin 5.000 Km],Rp 18.000.000,"Cengkareng, Jakarta Barat, Jakarta D.K.I.",Honda,2022,15.000-20.000 km,hidup,Diler
DP 2 Juta - Honda New Vario 125 Cbs Iss 2022 [Garansi Mesin 5.000 Km],Rp 17.500.000,"Cinere, Depok Kota, Jawa Barat",Honda,2022,15.000-20.000 km,hidup,Diler
DP 2 Juta - Honda New Vario 125 Cbs Iss 2022 [Garansi Mesin 5.000 Km],Rp 20.500.000,"Beji, Depok Kota, Jawa Barat",Honda,2022,15.000-20.000 km,hidup,Diler
DP 2 Juta - Honda New Vario 125 Cbs Iss 2022 [Garansi Mesin 5.000 Km],Rp 21.000.000,"Serpong, Tangerang Selatan Kota, Banten",Honda,2022,15.000-20.000 km,hidup,Diler
DP 2 Juta - Honda New Vario 125 Cbs Iss 2022 [Garansi Mesin 5.000 Km],Rp 16.300.000,"Kelapa Dua, Tangerang Kab., Banten",Honda,2022,15.000-20.000 km,hidup,Diler
DP 2 Juta - Honda New Vario 125 Cbs Iss 2022 [Garansi Mesin 5.000 Km],Rp 21.000.000,"Neglasari, Tangerang Kota, Banten",Honda,2022,15.000-20.000 km,hidup,Diler
"Km 7, honda scoopy CBS iss keyless 2023 bln 12 beat fazzio lexi freego",Rp 19.500.000,"Cengkareng, Jakarta Barat, Jakarta D.K.I.",Honda,2023,0-5.000 km,hidup,Diler
Jual New Vario ABS 2022 (matte black),Rp 23.900.000,"Serpong Utara, Tangerang Selatan Kota, Banten",Honda,2022,5.000-10.000 km,hidup,Individu
2018 Honda vario keyless 2018,Rp 12.500.000,"Cakung, Jakarta Timur, Jakarta D.K.I.",Honda,2018,95.000-100.000 km,hidup,Individu
[hidup]All New Honda Vario ABS ISS 160 CC  Tahun 2022,Rp 20.000.000,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",Honda,2022,10.000-15.000 km,hidup,Individu
